[2025-12-07 14:14:16] 🚀 Worker starting up...
[2025-12-07 14:14:16] ✅ Connected to Redis at 127.0.0.1:6379
[2025-12-07 14:14:16] ✅ Job success: rec_b868d0be3c8fe85c
[2025-12-07 14:14:16] ✅ Job success: rec_bed6960cbd587f15
[2025-12-07 14:14:16] ✅ Job success: rec_8a2aeeb39f135f6b
[2025-12-07 14:14:16] ✅ Job success: rec_a3d147b89515b36c
[2025-12-07 14:14:16] ✅ Job success: rec_62e6e865d2a1fb63
[2025-12-07 14:14:16] ✅ Job success: rec_dc15699b7ecf7dba
[2025-12-07 14:14:16] ✅ Job success: rec_98f371554f37fa2c
[2025-12-07 14:14:16] ✅ Job success: rec_7118e16ead2f4d9a
[2025-12-07 14:14:16] ✅ Job success: rec_98a3d5ce005f6a1d
[2025-12-07 14:14:17] ✅ Job success: rec_b44468a16bf9df9e
[2025-12-07 14:14:17] ✅ Job success: rec_7636860e1a39288e
[2025-12-07 14:14:17] ✅ Job success: rec_1a6a55c9e479a401
[2025-12-07 14:14:17] ✅ Job success: rec_d61b4c459095f2c9
[2025-12-07 14:14:17] ✅ Job success: rec_fa99301754e0c570
[2025-12-07 14:14:17] ✅ Job success: rec_271e0707c52df1b6
[2025-12-07 14:14:17] ✅ Job success: rec_a47c8838c9470e2a
[2025-12-07 14:14:17] ✅ Job success: rec_9cca4b5669f682a9
[2025-12-07 14:14:17] ✅ Job success: rec_c46960eb0940bde9
[2025-12-07 14:14:17] ✅ Job success: rec_7e0468dbc0ee04b8
[2025-12-07 14:14:17] ✅ Job success: rec_446d02bd6cb4da05
[2025-12-07 14:14:17] ✅ Job success: rec_5bbe754ec25afb7b
[2025-12-07 14:14:17] ✅ Job success: rec_77db5a5ae1d6b5e2
[2025-12-07 14:14:17] ✅ Job success: rec_846f6bcb3585ec17
[2025-12-07 14:14:17] ✅ Job success: rec_abf09fd6f6315b3d
[2025-12-07 14:14:17] ✅ Job success: rec_09810e81e633486f
[2025-12-07 14:14:17] ✅ Job success: rec_508348673c8d5f33
[2025-12-07 14:14:17] ✅ Job success: rec_f25fcc69a7cf2f9c
[2025-12-07 14:14:17] ✅ Job success: rec_10655aa6a9cad368
