No,G,R,B
1,177,179,176
2,175,178,177
3,179,179,177
4,181,183,180
5,182,186,183
6,189,190,189
7,192,194,193
8,193,195,193
9,193,194,193
10,187,187,186
11,181,184,182
12,179,183,181
13,179,180,178
14,177,180,177
15,178,178,177
16,179,180,179
17,181,184,182
18,181,183,181
19,184,185,184
20,189,192,189
21,194,197,195
22,196,197,196
23,194,195,194
24,192,192,191
25,188,190,189
26,184,185,184
27,183,185,183
28,183,186,183
29,182,185,182
30,182,183,182
31,182,184,182
32,182,185,183
33,184,188,184
34,187,188,188
35,193,195,194
36,198,199,199
37,197,200,199
38,196,198,197
39,190,192,191
40,186,187,185
41,187,188,185
42,183,185,185
43,182,184,183
44,184,184,184
45,182,185,183
46,184,185,185
47,185,187,185
48,189,191,189
49,196,195,198
50,199,200,199
51,201,202,201
52,201,201,200
53,193,196,197
54,187,189,187
55,185,186,184
56,185,186,186
57,185,185,185
58,184,186,185
59,185,185,184
60,185,187,187
61,185,185,186
62,186,186,186
63,188,190,190
64,197,198,197
65,202,202,204
66,203,202,204
67,200,200,201
68,193,195,195
69,188,190,190
70,187,188,187
71,184,186,186
72,186,187,187
73,188,188,190
74,188,189,189
75,189,190,191
76,190,191,190
77,189,191,190
78,195,195,196
79,200,200,200
80,202,202,204
81,204,203,204
82,201,199,201
83,192,192,192
84,189,190,190
85,188,188,189
86,187,186,188
87,185,187,188
88,187,187,187
89,189,191,190
90,190,190,189
91,191,192,192
92,197,196,197
93,201,200,204
94,203,204,205
95,202,203,205
96,198,199,202
97,196,196,198
98,193,192,194
99,190,191,192
100,191,190,192
101,189,189,191
102,189,189,189
103,188,188,190
104,190,189,190
105,191,191,192
106,192,192,194
107,199,197,200
108,204,204,206
109,207,205,207
110,206,204,208
111,200,199,203
112,194,195,195
113,194,193,194
114,189,189,192
115,190,188,190
116,189,189,191
117,189,189,191
118,189,188,189
119,190,189,192
120,192,193,193
121,198,196,200
122,203,202,205
123,205,205,208
124,207,205,207
125,204,202,207
126,198,197,200
127,192,191,195
128,191,191,193
129,191,191,194
130,187,186,190
131,187,187,189
132,187,187,190
133,186,186,190
134,189,188,190
135,191,189,192
136,198,197,202
137,207,205,208
138,208,205,210
139,205,204,207
140,201,200,203
141,192,192,194
142,189,189,190
143,187,188,191
144,188,186,189
145,191,189,193
146,191,189,192
147,190,189,193
148,192,191,194
149,193,194,194
150,196,194,199
151,203,200,205
152,207,204,208
153,206,205,208
154,201,200,205
155,195,193,197
156,191,190,192
157,191,190,192
158,189,188,191
159,189,187,191
160,189,190,193
161,191,190,192
162,192,189,192
163,193,191,194
164,195,196,199
165,203,200,206
166,207,203,208
167,206,205,211
168,205,205,209
169,201,199,203
170,194,192,197
171,192,190,193
172,189,188,193
173,189,189,192
174,191,190,192
175,189,188,191
176,190,190,193
177,192,193,195
178,192,191,194
179,195,195,199
180,204,202,206
181,207,205,208
182,204,202,209
183,202,199,204
184,194,194,197
185,194,193,196
186,191,190,196
187,191,190,192
188,192,189,192
189,189,188,192
190,189,188,192
191,190,191,191
192,192,192,196
193,201,199,203
194,206,204,209
195,209,207,212
196,210,208,214
197,203,203,207
198,198,196,200
199,192,192,194
200,191,191,194
201,191,191,193
202,190,188,192
203,190,187,192
204,189,189,192
205,191,189,193
206,190,189,194
207,191,192,193
208,198,197,199
209,206,203,209
210,208,206,211
211,207,205,210
212,203,201,207
213,195,194,197
214,192,190,194
215,190,189,191
216,189,189,192
217,192,190,192
218,190,189,190
219,191,188,192
220,192,190,192
221,193,193,196
222,196,194,199
223,204,202,206
224,208,206,210
225,210,208,212
226,206,206,208
227,200,197,203
228,195,195,197
229,193,192,194
230,192,190,191
231,189,188,191
232,191,190,192
233,191,191,193
234,194,192,195
235,195,192,196
236,196,196,198
237,203,201,203
238,207,204,209
239,207,205,209
240,207,205,209
241,201,200,204
242,196,194,196
243,192,193,195
244,192,191,195
245,192,190,194
246,193,191,193
247,191,192,194
248,192,193,194
249,195,193,196
250,197,196,198
251,198,199,199
252,206,205,208
253,210,207,210
254,207,205,209
255,204,202,205
256,197,196,198
257,196,194,196
258,193,192,193
259,192,191,194
260,193,191,193
261,192,191,194
262,192,191,193
263,191,190,192
264,193,193,194
265,197,197,199
266,202,201,205
267,207,205,210
268,210,209,211
269,207,206,208
270,200,198,202
271,195,193,196
272,193,192,193
273,194,195,195
274,192,191,192
275,191,190,193
276,191,191,194
277,190,190,191
278,191,192,193
279,191,191,193
280,196,197,196
281,202,202,205
282,207,206,208
283,207,206,209
284,203,203,206
285,197,196,198
286,193,194,194
287,192,192,193
288,192,192,192
289,194,193,194
290,191,190,191
291,192,192,193
292,192,192,193
293,194,194,194
294,194,195,194
295,202,198,202
296,207,206,208
297,212,212,213
298,208,206,210
299,202,201,204
300,195,196,196
301,193,193,195
302,192,191,191
303,190,190,191
304,191,191,192
305,192,192,191
306,192,192,193
307,195,195,196
308,197,197,197
309,202,201,203
310,207,206,208
311,207,207,209
312,208,209,210
313,205,205,205
314,197,198,197
315,195,193,195
316,193,195,193
317,193,192,194
318,191,191,191
319,192,192,192
320,192,192,192
321,196,195,195
322,196,199,195
323,200,200,199
324,207,207,207
325,210,209,210
326,209,209,210
327,206,204,205
328,200,199,200
329,197,197,196
330,194,194,194
331,194,194,192
332,194,194,192
333,193,194,193
334,193,193,194
335,194,193,194
336,196,196,196
337,199,199,198
338,203,202,204
339,209,207,210
340,212,211,212
341,209,209,210
342,205,205,205
343,197,196,197
344,196,195,194
345,197,196,196
346,194,194,193
347,193,192,192
348,194,193,193
349,194,194,194
350,194,193,193
351,193,194,193
352,199,200,199
353,208,206,208
354,209,207,211
355,209,209,210
356,207,207,208
357,201,201,202
358,197,195,195
359,195,193,193
360,193,195,193
361,192,193,193
362,191,192,193
363,193,191,190
364,193,193,192
365,194,194,192
366,195,196,194
367,201,201,202
368,206,206,207
369,211,213,211
370,208,208,209
371,202,202,203
372,196,198,198
373,194,195,194
374,190,189,190
375,188,189,191
376,190,190,189
377,192,194,192
378,191,192,192
379,193,192,192
380,193,193,192
381,199,198,199
382,205,206,205
383,207,207,207
384,206,207,206
385,204,204,206
386,195,196,194
387,192,193,192
388,192,191,191
389,189,189,190
390,188,187,188
391,187,187,187
392,190,187,187
393,191,191,192
394,190,192,190
395,194,194,195
396,200,200,201
397,207,206,206
398,207,206,206
399,204,203,205
400,197,199,197
401,193,194,193
402,189,190,189
403,188,189,188
404,189,190,189
405,189,189,190
406,188,188,188
407,189,190,190
408,191,191,189
409,195,195,195
410,199,198,201
411,204,205,205
412,207,207,207
413,205,206,207
414,201,202,201
415,193,193,194
416,192,192,191
417,192,192,193
418,189,189,189
419,189,188,187
420,190,189,188
421,190,190,191
422,191,189,189
423,191,193,191
424,197,197,196
425,208,207,207
426,209,208,209
427,208,208,208
428,204,205,206
429,196,197,196
430,193,193,191
431,190,190,190
432,190,189,190
433,190,190,190
434,189,188,189
435,189,189,189
436,190,190,190
437,191,193,191
438,193,193,194
439,201,199,200
440,205,205,205
441,206,204,206
442,202,200,201
443,195,194,195
444,190,191,190
445,191,191,190
446,188,189,188
447,189,188,188
448,187,188,188
449,188,190,188
450,188,186,187
451,187,186,187
452,190,192,189
453,196,195,197
454,202,200,203
455,203,202,201
456,201,202,200
457,198,197,197
458,191,191,190
459,188,189,190
460,189,188,188
461,188,189,187
462,187,185,184
463,186,185,186
464,188,186,185
465,188,190,189
466,190,190,188
467,194,193,193
468,201,200,200
469,203,204,204
470,202,202,203
471,198,198,199
472,193,193,192
473,190,191,190
474,188,189,187
475,187,187,187
476,188,188,187
477,188,188,188
478,187,186,186
479,188,186,187
480,188,189,186
481,191,193,190
482,194,195,195
483,200,200,200
484,202,202,202
485,203,200,200
486,195,193,193
487,189,188,187
488,187,188,186
489,188,188,186
490,186,185,185
491,185,187,185
492,184,185,184
493,188,188,187
494,187,185,185
495,188,188,186
496,192,193,191
497,199,200,198
498,202,201,200
499,200,199,199
500,196,197,195
501,190,192,190
502,186,186,185
503,184,184,184
504,185,185,182
505,186,187,184
506,183,185,183
507,185,184,183
508,184,186,185
509,188,189,186
510,188,189,187
511,195,194,194
512,200,202,200
513,202,202,201
514,199,199,197
515,193,193,191
516,189,191,188
517,187,189,187
518,186,186,185
519,185,186,183
520,186,186,183
521,187,187,185
522,186,186,184
523,185,187,186
524,189,190,186
525,195,196,194
526,199,200,199
527,200,201,201
528,202,202,200
529,197,200,196
530,190,192,188
531,186,187,184
532,186,187,185
533,186,188,183
534,184,185,184
535,183,184,183
536,185,186,183
537,187,190,187
538,188,189,186
539,191,191,189
540,198,198,196
541,201,202,200
542,198,199,197
543,197,196,195
544,190,190,188
545,189,190,186
546,186,187,183
547,186,187,183
548,186,185,183
549,185,187,184
550,184,187,182
551,185,186,182
552,188,189,185
553,189,193,188
554,193,194,192
555,198,199,197
556,199,201,198
557,200,202,200
558,194,193,192
559,188,191,184
560,187,188,184
561,187,186,184
562,183,185,182
563,183,184,183
564,183,185,182
565,184,185,182
566,184,185,181
567,184,185,182
568,187,189,186
569,195,197,196
570,197,199,196
571,197,199,195
572,195,196,193
573,188,189,187
574,185,185,183
575,184,185,182
576,182,184,181
577,185,187,183
578,183,185,182
579,184,185,183
580,185,188,182
581,185,187,182
582,185,187,183
583,191,192,190
584,195,198,194
585,200,202,199
586,196,198,195
587,192,193,190
588,187,188,183
589,185,187,184
590,182,185,179
591,182,183,181
592,184,185,181
593,184,185,181
594,181,183,180
595,183,185,180
596,186,187,183
597,188,192,187
598,193,195,192
599,197,196,194
600,196,196,193
601,194,195,190
602,186,188,184
603,183,184,182
604,182,186,181
605,183,185,181
606,180,182,180
607,181,184,179
608,180,182,179
609,183,186,182
610,183,185,181
611,185,187,182
612,191,193,189
613,196,198,195
614,195,197,193
615,192,194,190
616,186,188,185
617,185,188,184
618,182,184,179
619,181,183,181
620,182,185,179
621,182,186,180
622,182,184,179
623,181,182,179
624,183,185,180
625,184,187,182
626,186,189,184
627,193,195,190
628,197,198,194
629,195,197,193
630,191,192,189
631,185,187,183
632,182,185,180
633,183,186,180
634,181,184,180
635,180,184,178
636,180,184,179
637,184,186,180
638,184,186,180
639,183,186,180
640,185,191,182
641,192,195,191
642,195,196,192
643,194,198,192
644,193,195,191
645,186,188,183
646,182,184,180
647,181,182,178
648,180,182,178
649,182,185,179
650,180,184,180
651,180,182,177
652,182,185,179
653,184,186,180
654,183,185,180
655,187,190,185
656,194,195,192
657,197,199,195
658,194,196,193
659,189,192,187
660,186,188,181
661,183,186,181
662,182,184,179
663,182,184,178
664,180,184,180
665,183,185,182
666,182,184,181
667,181,184,179
668,183,186,181
669,184,188,182
670,190,192,187
671,194,195,191
672,194,197,191
673,195,196,192
674,187,189,183
675,182,185,179
676,182,184,180
677,179,182,178
678,177,181,174
679,177,180,175
680,178,181,176
681,180,183,176
682,180,184,177
683,181,185,177
684,185,188,183
685,193,197,193
686,194,196,191
687,191,195,189
688,185,189,183
689,183,187,181
690,181,184,179
691,181,183,178
692,179,183,179
693,181,184,178
694,179,181,176
695,178,181,175
696,180,182,177
697,183,185,180
698,183,188,182
699,190,193,187
700,194,196,192
701,194,197,191
702,188,189,187
703,182,185,178
704,181,184,178
705,179,182,177
706,177,179,174
707,177,180,174
708,177,180,176
709,178,182,177
710,179,183,176
711,181,185,177
712,185,187,181
713,193,195,191
714,195,196,192
715,196,197,194
716,195,197,192
717,188,190,185
718,182,185,179
719,179,183,176
720,180,180,176
721,180,183,177
722,180,181,176
